Bilateral trade between Morocco and Türkiye,,,,,,,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Sources: ITC calculations based on Office des changes du Maroc statistics since January, 2015.",,,,,,,,,,,,,,,,,,
"               ITC calculations based on UN COMTRADE statistics since January, 2014 and until January, 2015.",,,,,,,,,,,,,,,,,,
"               ITC calculations based on Office des changes du Maroc statistics since January, 2013 and until January, 2014.",,,,,,,,,,,,,,,,,,
"               ITC calculations based on UN COMTRADE statistics until January, 2013.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Data based on the partner reported data (Mirror data) are shown in orange,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Product code,Product label,Morocco's exports to Türkiye,,,,,Türkiye's imports from world,,,,,,Morocco's exports to world,,,,,
,,Value in 2021,Value in 2022,Value in 2023,Value in 2024,Value in 2025,,Value in 2021,Value in 2022,Value in 2023,Value in 2024,Value in 2025,,Value in 2021,Value in 2022,Value in 2023,Value in 2024,Value in 2025
'TOTAL,All products,800044,1101199,1168384,1172049,,,271422758,363710987,361966913,344017272,365369913,,36578743,42331463,42477876,45918428,
'01,Live animals,0,0,0,0,,,310235,180904,1195977,736112,1228398,,17556,14905,14037,18082,
'02,Meat and edible meat offal,0,0,5,13,,,76365,140580,358425,626284,601857,,1238,2079,1912,2104,
'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",25701,8273,1349,429,,,206814,304636,273950,275983,373240,,1759859,1592459,1687896,1703611,
'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",0,0,3,3,,,109920,134714,171690,151131,168197,,50446,55108,48529,52770,
'05,"Products of animal origin, not elsewhere specified or included",503,12435,19590,22470,,,69608,82427,69939,81928,79377,,83423,77326,119843,124480,
'06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",106,5,0,0,,,53222,47535,67581,75643,97048,,25863,27380,26922,34395,
'07,Edible vegetables and certain roots and tubers,2393,753,790,161,,,731124,931880,1266411,1094967,1085939,,1483688,1677661,1882021,2002503,
'08,Edible fruit and nuts; peel of citrus fruit or melons,67,69,145,722,,,913519,1073578,1264136,1447253,2301045,,1763942,1880422,1778326,2080258,
'09,"Coffee, tea, maté and spices",467,998,245,740,,,373912,530757,621020,660083,1088595,,69777,67491,67455,64248,
'10,Cereals,0,0,1,1,,,4248703,5368578,5075797,2712448,2969561,,2535,581,256,1924,
'11,Products of the milling industry; malt; starches; inulin; wheat gluten,0,0,0,0,,,175765,287292,244485,232018,255508,,6979,6823,7020,9949,
'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",9220,4543,1501,2807,,,2599002,3306899,2990012,2751012,3358048,,322116,236539,92877,98371,
'13,"Lac; gums, resins and other vegetable saps and extracts",1210,3784,496,1464,,,78105,82914,81252,85133,89641,,70766,71280,55851,54123,
'14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,0,0,0,0,,,16019,16386,14941,16550,20590,,610,602,384,462,
'15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; ...",1985,606,111,275,,,2499342,4104938,3215509,2878812,3105627,,260135,382610,353231,279150,
'16,"Preparations of meat, of fish, of crustaceans, molluscs or other aquatic invertebrates, or ...",12122,6398,6595,9776,,,18066,24218,23574,32488,18378,,813943,865532,852869,815061,
'17,Sugars and sugar confectionery,23987,172089,84812,114223,,,140476,625467,408530,292163,295940,,356690,456244,432949,470164,
'18,Cocoa and cocoa preparations,0,0,0,0,,,760407,648039,854665,1426080,2219377,,4181,5376,9097,13952,
'19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",907,845,364,187,,,263864,282044,302720,351309,435143,,91999,98442,113423,129866,
'20,"Preparations of vegetables, fruit, nuts or other parts of plants",194,38,1,1,,,151318,248142,205151,282648,367420,,226103,221038,208968,262243,
'21,Miscellaneous edible preparations,0,449,2,1149,,,817280,794847,887882,866893,1022980,,103656,115444,121032,147100,
'22,"Beverages, spirits and vinegar",11,0,1,4,,,484501,770380,878699,903837,1019272,,29409,34196,35360,44869,
'23,Residues and waste from the food industries; prepared animal fodder,97568,151986,99205,106032,,,2047233,2468537,2662259,2683949,2612556,,184869,267208,232805,211022,
'24,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, ...",6,1,2,0,,,643848,753487,922984,1050413,1225887,,29298,74469,106329,136620,
'25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",74028,90888,9905,64479,,,540075,744034,561496,550798,645731,,1245099,1617100,1081842,1130418,
'26,"Ores, slag and ash",4177,10042,4644,4754,,,2269095,1746768,1284974,1381154,1195999,,383231,363441,347064,369528,
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",0,73,0,114,,,50691655,96548926,69113811,65589738,62465580,,252681,427400,515804,520534,
'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",175510,137380,84370,117378,,,2193452,3474631,2509482,2390596,2415964,,2236280,2385771,1360702,1562235,
'29,Organic chemicals,0,0,1,0,,,9342105,11119614,9180698,9453384,8934530,,22630,15332,20625,23225,
'30,Pharmaceutical products,1130,1440,1652,1941,,,6874905,4559343,4986408,5429300,6500115,,133892,129784,154051,166465,
'31,Fertilisers,97971,77936,165284,158354,,,1995218,3031474,2387377,1715874,2004994,,5714861,7715003,5460994,6362517,
'32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",1390,310,391,625,,,2425772,2751284,2608073,2498571,2474530,,32417,27656,28168,28675,
'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",4,10,69,178,,,1261587,1570368,2010163,2038244,2398151,,95112,104530,115896,129509,
'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",40,10,7,132,,,1104960,1420428,1425732,1357200,1409967,,23437,18652,14568,15732,
'35,Albuminoidal substances; modified starches; glues; enzymes,0,0,0,0,,,497752,581097,620270,606276,682830,,2423,2270,2024,2362,
'36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,0,0,0,0,,,59326,70360,83117,247106,299930,,1861,1155,1075,2440,
'37,Photographic or cinematographic goods,0,0,0,0,,,131877,140218,130140,130588,122676,,97,92,67,201,
'38,Miscellaneous chemical products,0,19,1,3,,,2902672,3516103,3624803,3410037,3430772,,24945,19379,20282,25123,
'39,Plastics and articles thereof,6367,5290,5294,7994,,,17590476,18975919,16215325,15626414,15626857,,315027,336830,363369,377185,
'40,Rubber and articles thereof,647,791,1068,993,,,3578937,4132580,3866203,3938823,4107504,,97238,124388,164267,195941,
'41,Raw hides and skins (other than furskins) and leather,241,1117,263,65,,,210491,318891,316858,226664,216388,,34886,42904,33087,22561,
'42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...",968,49,13,14,,,324925,465514,623319,680401,718316,,74497,86273,87036,87658,
'43,Furskins and artificial fur; manufactures thereof,0,0,0,0,,,41023,63822,49474,39649,44139,,307,191,153,141,
'44,Wood and articles of wood; wood charcoal,476,1612,850,725,,,485105,784846,1094663,868920,1027611,,46799,53354,50836,50299,
'45,Cork and articles of cork,0,0,0,0,,,5958,12190,15613,12767,10978,,13028,21403,21373,12829,
'46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",22,44,27,10,,,15191,16370,18819,25192,28721,,13409,16174,14968,11949,
'47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ...,424,139,53,1376,,,1231402,1812002,1323772,1465855,1496370,,8200,8300,4030,7028,
'48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",20,2,29,33,,,2741500,4055261,3070347,2898801,2887814,,109395,119138,132795,137466,
'49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...",106,594,760,883,,,116506,119133,132253,128548,130265,,5466,14244,37860,46898,
'50,Silk,0,0,0,0,,,19387,25623,26646,27308,28905,,10,12,53,620,
'51,"Wool, fine or coarse animal hair; horsehair yarn and woven fabric",105,46,21,0,,,223560,334548,350774,279138,285294,,4533,5179,11072,6127,
