Bilateral trade between Morocco and Türkiye,,,,,,,,,,,,,,,,,,
Product: TOTAL All products,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Sources: ITC calculations based on Office des changes du Maroc statistics since January, 2015.",,,,,,,,,,,,,,,,,,
"               ITC calculations based on UN COMTRADE statistics since January, 2014 and until January, 2015.",,,,,,,,,,,,,,,,,,
"               ITC calculations based on Office des changes du Maroc statistics since January, 2013 and until January, 2014.",,,,,,,,,,,,,,,,,,
"               ITC calculations based on UN COMTRADE statistics until January, 2013.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Data based on the partner reported data (Mirror data) are shown in orange,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Unit : US Dollar thousand,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Product code,Product label,Morocco's imports from Türkiye,,,,,Türkiye's exports to world,,,,,,Morocco's imports from world,,,,,
,,Value in 2021,Value in 2022,Value in 2023,Value in 2024,Value in 2025,,Value in 2021,Value in 2022,Value in 2023,Value in 2024,Value in 2025,,Value in 2021,Value in 2022,Value in 2023,Value in 2024,Value in 2025
'TOTAL,All products,3381864,3751028,3610532,3949791,,,225264314,254171899,255627429,261801501,273361210,,58667257,72832659,70671817,76601485,
'01,Live animals,0,0,0,0,,,106398,129013,64719,76493,58981,,97305,64969,291774,574507,
'02,Meat and edible meat offal,2994,4136,1106,0,,,878937,1149002,846241,674990,716770,,24728,31267,43450,47367,
'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",4,135,590,267,,,1298698,1548991,1624101,1907706,2159321,,230621,275663,290407,285062,
'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",1672,13690,184,1270,,,858680,977870,759271,915474,880624,,324849,442607,418392,403712,
'05,"Products of animal origin, not elsewhere specified or included",603,377,46,246,,,98417,102998,96737,92779,96592,,83350,88194,84521,72675,
'06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",437,326,221,145,,,148890,138250,135225,141252,160662,,89808,93300,93015,109756,
'07,Edible vegetables and certain roots and tubers,300,561,10207,6317,,,1752892,2111674,2445993,2474975,2281323,,122538,159985,271702,309625,
'08,Edible fruit and nuts; peel of citrus fruit or melons,8269,9838,7744,9941,,,5367612,4943693,5369063,6296395,6211107,,525034,524230,604021,707888,
'09,"Coffee, tea, maté and spices",1066,5277,3967,2198,,,271378,285755,319672,378312,424393,,423305,526547,436924,658635,
'10,Cereals,4547,2699,8667,12022,,,416706,688677,1733189,1148116,1002407,,2388955,3690889,2996813,2795586,
'11,Products of the milling industry; malt; starches; inulin; wheat gluten,209,97,221,60,,,1439959,1901562,1876032,1526267,1243803,,21518,31657,32269,28910,
'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",3249,4189,5002,7051,,,579105,701422,639717,715100,754866,,228405,272538,247389,342937,
'13,"Lac; gums, resins and other vegetable saps and extracts",1,0,0,43,,,36850,47585,16184,18734,18600,,15591,15827,15258,17147,
'14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,21,22,19,43,,,33305,38289,33951,32955,33721,,600,1267,1294,1679,
'15,"Animal, vegetable or microbial fats and oils and their cleavage products; prepared edible fats; ...",2199,4796,21979,14574,,,2080815,3539125,2978874,2869707,2852625,,889031,1103340,968913,891499,
'16,"Preparations of meat, of fish, of crustaceans, molluscs or other aquatic invertebrates, or ...",1016,1931,695,1760,,,191288,268424,264422,328087,235110,,69818,60392,64238,77025,
'17,Sugars and sugar confectionery,5264,4564,5661,4702,,,993602,1070196,1195278,1292588,1188169,,700155,825713,1052812,1070831,
'18,Cocoa and cocoa preparations,4083,3384,2370,1803,,,775536,942584,1020668,1128590,1664947,,130549,122083,134326,164835,
'19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",10200,9252,9965,9033,,,2170340,2627537,2668975,2818366,2934751,,220021,227514,273987,278944,
'20,"Preparations of vegetables, fruit, nuts or other parts of plants",3460,5040,6988,10030,,,2696048,3079614,3114527,3690982,3641716,,111094,116264,169189,160966,
'21,Miscellaneous edible preparations,4255,5305,6609,5639,,,877864,1040731,1216767,1363095,1373192,,213293,234270,246030,260883,
'22,"Beverages, spirits and vinegar",221,75,140,125,,,452134,547902,518176,560973,589697,,139050,180127,216329,226994,
'23,Residues and waste from the food industries; prepared animal fodder,2111,3209,18412,5769,,,701245,1151773,1040950,1106184,998769,,744790,820680,1024480,854262,
'24,"Tobacco and manufactured tobacco substitutes; products, whether or not containing nicotine, ...",9951,10685,14798,17060,,,781679,841151,932836,990713,1071581,,147299,186443,234956,261172,
'25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",16344,29040,14522,17266,,,3418334,3817910,3237324,3100962,3306139,,1174824,1937330,871141,1010056,
'26,"Ores, slag and ash",1069,651,761,1115,,,2166600,2245877,2028080,2367667,2386815,,4016,33421,11141,20480,
'27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...",33541,185811,234486,259438,,,8516413,16374408,16389207,16554391,15253783,,8426743,15130351,12048155,11455329,
'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",74744,78209,44133,62753,,,2194173,3548137,2901594,2994021,3899399,,1215931,2679196,1219102,1422569,
'29,Organic chemicals,12393,15763,10287,12864,,,1068333,1352166,1138651,910910,859732,,489595,589028,506872,530565,
'30,Pharmaceutical products,6503,6937,11250,8772,,,1905245,1899097,2199316,2266231,2481467,,1427086,825704,889411,1072114,
'31,Fertilisers,1955,1369,4129,6026,,,473500,982569,511589,538720,650380,,291198,441108,338588,330305,
'32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",8784,11461,10854,16211,,,1130254,1485265,1538892,1559989,1633084,,354069,395122,375513,416470,
'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",20728,18226,19602,24558,,,1111812,1344823,1657014,1815498,2019863,,425307,432162,501763,563442,
'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",26114,25466,32188,35459,,,1015670,1296311,1437298,1524226,1623395,,252016,267727,273977,301824,
'35,Albuminoidal substances; modified starches; glues; enzymes,6578,8427,6260,8316,,,340703,495000,520360,528435,618644,,118889,142349,162104,174369,
'36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,142,298,405,496,,,30007,56616,67000,76023,90452,,5195,5516,9187,8692,
'37,Photographic or cinematographic goods,23,24,41,15,,,16103,20050,25442,23685,24777,,20525,18455,19966,23822,
'38,Miscellaneous chemical products,15810,19897,20738,21914,,,1221596,1411200,1451191,1520101,1620987,,661896,717603,693255,807168,
'39,Plastics and articles thereof,163157,190538,180969,270261,,,10016195,11570171,10571746,10921353,11215700,,2602584,3003275,2993322,3346684,
'40,Rubber and articles thereof,98485,93574,93583,115652,,,3455074,3708086,3818163,3774871,4015503,,685723,696287,785115,892045,
'41,Raw hides and skins (other than furskins) and leather,990,1533,1670,661,,,253123,260111,210216,206729,184791,,77839,92033,80953,75685,
'42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...",8420,6901,5649,4498,,,413356,513308,483536,475021,491290,,125738,143583,182975,196896,
'43,Furskins and artificial fur; manufactures thereof,15,41,69,63,,,152956,163099,154938,138116,147514,,556,674,340,485,
'44,Wood and articles of wood; wood charcoal,77134,86081,119632,149834,,,1473783,1819493,1774843,1734621,1845648,,640853,674984,657194,753849,
'45,Cork and articles of cork,41,6,16,5,,,804,5536,8369,7196,5751,,1738,1261,1231,2045,
'46,"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork",2,9,4,15,,,2771,3692,4511,6694,5429,,700,1210,939,936,
'47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ...,0,0,9,0,,,78348,168960,156319,129354,133902,,45842,63407,52654,46030,
'48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",74051,88111,89586,91348,,,2163005,2843396,2531534,2689667,2685669,,845306,1122204,869286,980314,
'49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...",1250,1713,1833,4045,,,154094,219777,191468,208977,215377,,86048,118146,132981,140657,
'50,Silk,3,4,5,8,,,5924,1677,1991,1622,2010,,4726,11733,11926,9816,
